name,MOS,CI_MIN,CI_MAX
bennetTomb_simpNoTex_L04,3.65,3.57,3.72
bread_ds_L01,3.84,3.80,3.88
bread_ds_L02,3.42,3.36,3.48
bread_ds_L03,2.68,2.63,2.73
bread_ds_L04,2.06,2.00,2.12
bread_ds_L05,1.18,1.15,1.21
bread_gn_L01,4.39,4.36,4.42
bread_gn_L02,4.22,4.18,4.26
bread_gn_L03,4.14,4.11,4.18
bread_gn_L04,3.98,3.91,4.04
bread_gn_L05,3.66,3.60,3.72
bread_JPEG_L01,4.22,4.18,4.26
bread_JPEG_L02,3.88,3.82,3.93
bread_JPEG_L03,3.46,3.40,3.52
bread_JPEG_L04,3.10,3.04,3.16
bread_JPEG_L05,2.35,2.27,2.42
bread_JPEG_L06,1.68,1.63,1.73
bread_qp_L01,4.36,4.32,4.40
bread_qp_L02,4.42,4.39,4.45
bread_qp_L03,4.34,4.30,4.38
bread_qp_L04,4.28,4.24,4.32
bread_qp_L05,4.14,4.11,4.18
bread_qpqt_L01,4.44,4.41,4.47
bread_qpqt_L02,4.30,4.26,4.33
bread_qpqt_L03,4.25,4.21,4.29
bread_qpqt_L04,4.29,4.26,4.32
bread_qpqt_L05,4.33,4.30,4.37
bread_qpqt_L06,4.20,4.16,4.24
bread_qpqtJPEG_L01,3.69,3.63,3.74
bread_qpqtJPEG_L02,3.42,3.37,3.47
bread_qpqtJPEG_L03,1.93,1.88,1.99
bread_qpqtJPEG_L04,3.72,3.66,3.78
bread_qpqtJPEG_L05,3.48,3.40,3.57
bread_qpqtJPEG_L06,1.69,1.64,1.73
bread_qpqtJPEG_L07,3.78,3.72,3.84
bread_qpqtJPEG_L08,3.08,3.02,3.13
bread_qpqtJPEG_L09,1.67,1.62,1.71
bread_simp_L01,4.28,4.23,4.33
bread_simp_L02,3.98,3.94,4.02
bread_simp_L03,3.80,3.74,3.86
bread_simp_L04,3.72,3.67,3.78
bread_simp_L05,3.16,3.10,3.22
bread_simpNoTex_L01,4.22,4.17,4.27
bread_simpNoTex_L02,4.15,4.10,4.20
bread_simpNoTex_L03,3.08,3.01,3.15
bread_simpNoTex_L04,2.96,2.91,3.02
deadRose_ds_L01,3.69,3.64,3.75
deadRose_ds_L02,3.28,3.22,3.34
deadRose_ds_L03,2.50,2.44,2.57
deadRose_ds_L04,2.14,2.07,2.21
deadRose_ds_L05,1.27,1.24,1.29
deadRose_gn_L01,4.38,4.34,4.42
deadRose_gn_L02,4.20,4.14,4.26
deadRose_gn_L03,3.80,3.75,3.85
deadRose_gn_L04,3.53,3.44,3.61
deadRose_gn_L05,2.76,2.70,2.83
deadRose_JPEG_L01,4.33,4.30,4.36
deadRose_JPEG_L02,4.07,4.04,4.10
deadRose_JPEG_L03,4.16,4.13,4.19
deadRose_JPEG_L04,3.88,3.83,3.92
deadRose_JPEG_L05,2.92,2.87,2.98
deadRose_JPEG_L06,1.65,1.61,1.68
deadRose_qp_L01,4.32,4.28,4.36
deadRose_qp_L02,4.46,4.43,4.49
deadRose_qp_L03,4.39,4.36,4.42
deadRose_qp_L04,4.20,4.17,4.23
deadRose_qp_L05,4.38,4.35,4.42
deadRose_qpqt_L01,4.36,4.33,4.39
deadRose_qpqt_L02,4.18,4.15,4.22
deadRose_qpqt_L03,4.19,4.15,4.21
deadRose_qpqt_L04,4.18,4.15,4.20
deadRose_qpqt_L05,4.17,4.14,4.22
deadRose_qpqt_L06,4.07,4.04,4.11
deadRose_qpqtJPEG_L01,4.40,4.38,4.42
deadRose_qpqtJPEG_L02,4.12,4.08,4.16
deadRose_qpqtJPEG_L03,1.51,1.47,1.54
deadRose_qpqtJPEG_L04,4.28,4.24,4.31
deadRose_qpqtJPEG_L05,3.84,3.78,3.90
deadRose_qpqtJPEG_L06,1.54,1.51,1.57
deadRose_qpqtJPEG_L07,4.04,4.00,4.08
deadRose_qpqtJPEG_L08,3.86,3.79,3.94
deadRose_qpqtJPEG_L09,1.65,1.61,1.69
deadRose_simp_L01,4.14,4.09,4.19
deadRose_simp_L02,4.29,4.26,4.32
deadRose_simp_L03,4.22,4.18,4.26
deadRose_simp_L04,3.40,3.33,3.47
deadRose_simp_L05,3.09,3.02,3.16
deadRose_simpNoTex_L01,4.31,4.28,4.34
deadRose_simpNoTex_L02,4.30,4.27,4.33
deadRose_simpNoTex_L03,3.97,3.93,4.01
deadRose_simpNoTex_L04,3.24,3.18,3.31
elena_ds_L01,3.84,3.78,3.89
elena_ds_L02,3.38,3.33,3.44
elena_ds_L03,2.71,2.64,2.77
elena_ds_L04,2.07,2.02,2.12
elena_ds_L05,1.11,1.09,1.12
elena_gn_L01,3.95,3.90,4.01
elena_gn_L02,2.62,2.56,2.68
elena_gn_L03,1.98,1.93,2.03
elena_gn_L04,1.73,1.68,1.79
elena_gn_L05,1.61,1.56,1.66
elena_JPEG_L01,3.74,3.69,3.79
elena_JPEG_L02,3.69,3.64,3.74
elena_JPEG_L03,3.35,3.30,3.39
elena_JPEG_L04,2.81,2.76,2.86
elena_JPEG_L05,2.41,2.35,2.47
elena_JPEG_L06,1.71,1.66,1.76
elena_qp_L01,4.36,4.34,4.39
elena_qp_L02,4.33,4.30,4.37
elena_qp_L03,4.16,4.11,4.21
elena_qp_L04,3.19,3.13,3.25
elena_qp_L05,2.29,2.24,2.35
elena_qpqt_L01,4.33,4.30,4.36
elena_qpqt_L02,4.29,4.25,4.33
elena_qpqt_L03,4.15,4.10,4.19
elena_qpqt_L04,4.16,4.12,4.21
elena_qpqt_L05,3.08,3.00,3.16
elena_qpqt_L06,1.97,1.91,2.03
elena_qpqtJPEG_L01,3.74,3.68,3.80
elena_qpqtJPEG_L02,2.96,2.89,3.03
elena_qpqtJPEG_L03,1.65,1.60,1.69
elena_qpqtJPEG_L04,3.67,3.63,3.71
elena_qpqtJPEG_L05,2.87,2.80,2.94
elena_qpqtJPEG_L06,1.63,1.58,1.67
elena_qpqtJPEG_L07,2.05,2.00,2.11
elena_qpqtJPEG_L08,1.80,1.76,1.84
elena_qpqtJPEG_L09,1.32,1.29,1.35
elena_simp_L01,4.31,4.27,4.34
elena_simp_L02,4.33,4.29,4.37
elena_simp_L03,3.80,3.75,3.85
elena_simp_L04,2.92,2.85,2.99
elena_simp_L05,2.18,2.11,2.25
elena_simpNoTex_L01,4.24,4.20,4.27
elena_simpNoTex_L02,3.36,3.30,3.42
elena_simpNoTex_L03,1.80,1.76,1.84
elena_simpNoTex_L04,1.44,1.41,1.47
fruitSet_ds_L01,3.29,3.23,3.34
fruitSet_ds_L02,3.06,3.01,3.12
fruitSet_ds_L03,2.58,2.50,2.66
fruitSet_ds_L04,2.28,2.23,2.33
fruitSet_ds_L05,1.36,1.32,1.40
fruitSet_gn_L01,4.37,4.33,4.41
fruitSet_gn_L02,4.12,4.08,4.16
fruitSet_gn_L03,3.72,3.68,3.77
fruitSet_gn_L04,3.62,3.56,3.69
fruitSet_gn_L05,3.36,3.28,3.44
fruitSet_JPEG_L01,3.87,3.83,3.91
fruitSet_JPEG_L02,3.90,3.85,3.94
fruitSet_JPEG_L03,3.71,3.66,3.76
fruitSet_JPEG_L04,3.42,3.37,3.47
fruitSet_JPEG_L05,2.95,2.89,3.00
fruitSet_JPEG_L06,1.72,1.68,1.77
fruitSet_qp_L01,4.42,4.40,4.44
fruitSet_qp_L02,4.31,4.28,4.34
fruitSet_qp_L03,4.28,4.24,4.31
fruitSet_qp_L04,4.22,4.19,4.25
fruitSet_qp_L05,4.24,4.21,4.27
fruitSet_qpqt_L01,4.33,4.30,4.36
fruitSet_qpqt_L02,4.28,4.25,4.31
fruitSet_qpqt_L03,4.26,4.22,4.29
fruitSet_qpqt_L04,4.20,4.18,4.22
fruitSet_qpqt_L05,4.13,4.07,4.19
fruitSet_qpqt_L06,4.05,4.00,4.09
fruitSet_qpqtJPEG_L01,3.93,3.88,3.98
fruitSet_qpqtJPEG_L02,3.35,3.29,3.40
fruitSet_qpqtJPEG_L03,1.54,1.50,1.58
fruitSet_qpqtJPEG_L04,3.88,3.84,3.93
fruitSet_qpqtJPEG_L05,3.52,3.47,3.57
fruitSet_qpqtJPEG_L06,1.60,1.56,1.64
fruitSet_qpqtJPEG_L07,3.55,3.49,3.60
fruitSet_qpqtJPEG_L08,3.25,3.18,3.32
fruitSet_qpqtJPEG_L09,1.47,1.44,1.50
fruitSet_simp_L01,4.05,4.00,4.09
fruitSet_simp_L02,3.95,3.89,4.00
fruitSet_simp_L03,3.29,3.22,3.36
fruitSet_simp_L04,2.69,2.63,2.75
fruitSet_simp_L05,1.51,1.47,1.55
fruitSet_simpNoTex_L01,4.33,4.30,4.37
fruitSet_simpNoTex_L02,4.03,3.99,4.07
fruitSet_simpNoTex_L03,3.95,3.89,4.01
fruitSet_simpNoTex_L04,3.70,3.64,3.76
hawk_ds_L01,4.18,4.14,4.22
hawk_ds_L02,3.91,3.87,3.94
hawk_ds_L03,3.06,3.00,3.11
hawk_ds_L04,2.47,2.42,2.53
hawk_ds_L05,1.69,1.62,1.75
hawk_gn_L01,4.16,4.13,4.19
hawk_gn_L02,3.48,3.42,3.53
hawk_gn_L03,3.20,3.15,3.25
hawk_gn_L04,2.54,2.47,2.61
hawk_gn_L05,2.28,2.21,2.34
hawk_JPEG_L01,4.20,4.16,4.24
hawk_JPEG_L02,4.04,3.98,4.11
hawk_JPEG_L03,3.97,3.92,4.02
hawk_JPEG_L04,3.38,3.31,3.46
hawk_JPEG_L05,3.02,2.95,3.09
hawk_JPEG_L06,1.52,1.49,1.55
hawk_qp_L01,4.43,4.40,4.46
hawk_qp_L02,4.40,4.38,4.42
hawk_qp_L03,4.30,4.27,4.33
hawk_qp_L04,4.22,4.19,4.24
hawk_qp_L05,3.76,3.71,3.81
hawk_qpqt_L01,4.43,4.40,4.46
hawk_qpqt_L02,4.39,4.36,4.42
hawk_qpqt_L03,4.35,4.33,4.36
hawk_qpqt_L04,4.32,4.28,4.36
hawk_qpqt_L05,4.30,4.27,4.33
hawk_qpqt_L06,3.78,3.74,3.83
hawk_qpqtJPEG_L01,4.03,3.99,4.07
hawk_qpqtJPEG_L02,3.36,3.28,3.44
hawk_qpqtJPEG_L03,1.53,1.48,1.57
hawk_qpqtJPEG_L04,4.05,4.00,4.10
hawk_qpqtJPEG_L05,3.07,3.01,3.13
hawk_qpqtJPEG_L06,1.46,1.43,1.49
hawk_qpqtJPEG_L07,3.36,3.30,3.42
hawk_qpqtJPEG_L08,2.43,2.37,2.49
hawk_qpqtJPEG_L09,1.56,1.52,1.61
hawk_simp_L01,4.38,4.35,4.41
hawk_simp_L02,4.10,4.07,4.14
hawk_simp_L03,3.82,3.77,3.87
hawk_simp_L04,3.36,3.30,3.43
hawk_simp_L05,2.70,2.63,2.77
hawk_simpNoTex_L01,4.24,4.20,4.28
hawk_simpNoTex_L02,4.31,4.27,4.34
hawk_simpNoTex_L03,4.24,4.21,4.27
hawk_simpNoTex_L04,4.01,3.97,4.05
muscaDomestica_ds_L01,4.33,4.29,4.36
muscaDomestica_ds_L02,4.22,4.17,4.27
muscaDomestica_ds_L03,3.98,3.94,4.02
muscaDomestica_ds_L04,3.06,3.00,3.12
muscaDomestica_ds_L05,1.73,1.66,1.81
muscaDomestica_gn_L01,3.32,3.26,3.38
muscaDomestica_gn_L02,2.78,2.72,2.84
muscaDomestica_gn_L03,2.18,2.13,2.23
muscaDomestica_gn_L04,1.88,1.82,1.95
muscaDomestica_gn_L05,1.69,1.63,1.75
muscaDomestica_JPEG_L01,4.22,4.18,4.26
muscaDomestica_JPEG_L02,4.24,4.21,4.26
muscaDomestica_JPEG_L03,3.97,3.91,4.03
muscaDomestica_JPEG_L04,3.80,3.72,3.88
muscaDomestica_JPEG_L05,3.48,3.39,3.56
muscaDomestica_JPEG_L06,1.91,1.85,1.96
muscaDomestica_qp_L01,4.29,4.24,4.33
muscaDomestica_qp_L02,4.27,4.22,4.31
muscaDomestica_qp_L03,4.22,4.18,4.26
muscaDomestica_qp_L04,4.24,4.21,4.27
muscaDomestica_qp_L05,3.44,3.39,3.49
muscaDomestica_qpqt_L01,4.44,4.41,4.46
muscaDomestica_qpqt_L02,4.30,4.25,4.34
muscaDomestica_qpqt_L03,4.24,4.20,4.27
muscaDomestica_qpqt_L04,4.16,4.10,4.21
muscaDomestica_qpqt_L05,4.07,4.03,4.11
muscaDomestica_qpqt_L06,3.54,3.48,3.60
muscaDomestica_qpqtJPEG_L01,4.16,4.12,4.20
muscaDomestica_qpqtJPEG_L02,3.72,3.66,3.79
muscaDomestica_qpqtJPEG_L03,1.98,1.93,2.03
muscaDomestica_qpqtJPEG_L04,4.03,3.98,4.07
muscaDomestica_qpqtJPEG_L05,3.68,3.61,3.75
muscaDomestica_qpqtJPEG_L06,1.78,1.74,1.82
muscaDomestica_qpqtJPEG_L07,3.69,3.63,3.74
muscaDomestica_qpqtJPEG_L08,3.20,3.15,3.25
muscaDomestica_qpqtJPEG_L09,1.80,1.75,1.85
muscaDomestica_simp_L01,4.22,4.19,4.26
muscaDomestica_simp_L02,4.22,4.18,4.26
muscaDomestica_simp_L03,4.02,3.96,4.08
muscaDomestica_simp_L04,3.59,3.55,3.63
muscaDomestica_simp_L05,3.13,3.07,3.19
muscaDomestica_simpNoTex_L01,4.38,4.34,4.42
muscaDomestica_simpNoTex_L02,4.02,3.97,4.06
muscaDomestica_simpNoTex_L03,3.93,3.89,3.98
muscaDomestica_simpNoTex_L04,4.03,3.97,4.10
plant_ds_L01,4.05,3.99,4.10
plant_ds_L02,3.78,3.71,3.84
plant_ds_L03,3.36,3.30,3.42
plant_ds_L04,2.60,2.55,2.65
plant_ds_L05,2.22,2.13,2.31
plant_gn_L01,4.16,4.12,4.21
plant_gn_L02,3.60,3.53,3.67
plant_gn_L03,3.09,3.03,3.15
plant_gn_L04,3.17,3.11,3.24
plant_gn_L05,2.28,2.21,2.34
plant_JPEG_L01,4.11,4.06,4.16
plant_JPEG_L02,4.01,3.97,4.05
plant_JPEG_L03,3.82,3.76,3.88
plant_JPEG_L04,3.48,3.42,3.53
plant_JPEG_L05,2.84,2.76,2.93
plant_JPEG_L06,2.15,2.07,2.22
plant_qp_L01,4.20,4.17,4.23
plant_qp_L02,4.18,4.16,4.21
plant_qp_L03,4.16,4.12,4.20
plant_qp_L04,3.99,3.95,4.03
plant_qp_L05,3.29,3.22,3.35
plant_qpqt_L01,4.18,4.13,4.23
plant_qpqt_L02,4.11,4.07,4.15
plant_qpqt_L03,4.16,4.13,4.20
plant_qpqt_L04,3.95,3.90,3.99
plant_qpqt_L05,3.80,3.75,3.85
plant_qpqt_L06,3.10,3.03,3.16
plant_qpqtJPEG_L01,4.05,4.00,4.09
plant_qpqtJPEG_L02,3.53,3.47,3.59
plant_qpqtJPEG_L03,1.97,1.92,2.02
plant_qpqtJPEG_L04,4.08,4.04,4.12
plant_qpqtJPEG_L05,3.59,3.54,3.64
plant_qpqtJPEG_L06,2.24,2.17,2.32
plant_qpqtJPEG_L07,3.38,3.32,3.44
plant_qpqtJPEG_L08,3.00,2.95,3.05
plant_qpqtJPEG_L09,1.93,1.88,1.97
plant_simp_L01,4.20,4.17,4.23
plant_simp_L02,3.88,3.82,3.93
plant_simp_L03,3.76,3.70,3.82
plant_simp_L04,3.55,3.48,3.62
plant_simp_L05,2.88,2.81,2.95
plant_simpNoTex_L01,4.16,4.13,4.20
plant_simpNoTex_L02,4.12,4.07,4.17
plant_simpNoTex_L03,3.84,3.79,3.89
plant_simpNoTex_L04,3.59,3.52,3.66
rafa_ds_L01,3.68,3.62,3.74
rafa_ds_L02,3.59,3.52,3.66
rafa_ds_L03,2.86,2.79,2.93
rafa_ds_L04,1.84,1.78,1.90
rafa_ds_L05,1.22,1.18,1.25
rafa_gn_L01,4.03,3.99,4.07
rafa_gn_L02,3.40,3.35,3.45
rafa_gn_L03,3.33,3.26,3.39
rafa_gn_L04,2.26,2.22,2.29
rafa_gn_L05,2.22,2.16,2.27
rafa_JPEG_L01,3.90,3.85,3.94
rafa_JPEG_L02,3.76,3.72,3.80
rafa_JPEG_L03,3.50,3.44,3.56
rafa_JPEG_L04,2.75,2.70,2.80
rafa_JPEG_L05,2.31,2.26,2.37
rafa_JPEG_L06,1.55,1.50,1.59
rafa_qp_L01,4.35,4.30,4.39
rafa_qp_L02,4.25,4.23,4.28
rafa_qp_L03,3.86,3.79,3.93
rafa_qp_L04,2.78,2.72,2.84
rafa_qp_L05,1.70,1.66,1.75
rafa_qpqt_L01,4.36,4.33,4.40
rafa_qpqt_L02,4.28,4.24,4.31
rafa_qpqt_L03,4.20,4.16,4.24
rafa_qpqt_L04,3.88,3.82,3.94
rafa_qpqt_L05,3.18,3.13,3.23
rafa_qpqt_L06,1.72,1.68,1.76
rafa_qpqtJPEG_L01,3.78,3.71,3.85
rafa_qpqtJPEG_L02,2.89,2.83,2.95
rafa_qpqtJPEG_L03,1.51,1.46,1.55
rafa_qpqtJPEG_L04,3.46,3.40,3.52
rafa_qpqtJPEG_L05,2.68,2.62,2.73
rafa_qpqtJPEG_L06,1.51,1.47,1.55
rafa_qpqtJPEG_L07,1.66,1.62,1.70
rafa_qpqtJPEG_L08,1.71,1.67,1.75
rafa_qpqtJPEG_L09,1.23,1.21,1.25
rafa_simp_L01,4.26,4.22,4.30
rafa_simp_L02,3.98,3.94,4.02
rafa_simp_L03,3.25,3.20,3.29
rafa_simp_L04,3.02,2.94,3.10
rafa_simp_L05,2.12,2.08,2.16
rafa_simpNoTex_L01,4.22,4.18,4.26
rafa_simpNoTex_L02,3.58,3.51,3.65
rafa_simpNoTex_L03,2.88,2.82,2.94
rafa_simpNoTex_L04,1.78,1.74,1.82
tastyFood_ds_L01,4.10,4.05,4.15
tastyFood_ds_L02,4.04,3.99,4.09
tastyFood_ds_L03,3.12,3.06,3.18
tastyFood_ds_L04,2.28,2.22,2.33
tastyFood_ds_L05,1.49,1.43,1.56
tastyFood_gn_L01,4.20,4.16,4.24
tastyFood_gn_L02,3.96,3.91,4.01
tastyFood_gn_L03,3.91,3.86,3.97
tastyFood_gn_L04,3.45,3.40,3.51
tastyFood_gn_L05,3.38,3.32,3.44
tastyFood_JPEG_L01,4.26,4.22,4.29
tastyFood_JPEG_L02,4.18,4.14,4.22
tastyFood_JPEG_L03,4.05,4.01,4.10
tastyFood_JPEG_L04,4.05,4.02,4.09
tastyFood_JPEG_L05,3.15,3.10,3.21
tastyFood_JPEG_L06,2.06,2.01,2.11
tastyFood_qp_L01,4.43,4.39,4.46
tastyFood_qp_L02,4.42,4.39,4.45
tastyFood_qp_L03,4.39,4.36,4.42
tastyFood_qp_L04,4.24,4.20,4.28
tastyFood_qp_L05,3.54,3.49,3.59
tastyFood_qpqt_L01,4.50,4.47,4.54
